ACOS/acos-at-0	=ACOS(0)	py=1.5707963267948966	hf=1.5707963268	ic=1.570796327	fo=1.5707963267948966
ACOS/acos-at-1	=ACOS(1)	py=0	hf=0	ic=0	fo=0
ACOS/acos-negative	=ACOS(-1)	py=ERR:#NAME?	hf=3.1415926536	ic=3.141592654	fo=3.141592653589793
ACOS/acos-out-of-domain	=ACOS(2)	py=ERR:#NAME?	hf=ERR:#NUM!	ic=ERR:#NUM!	fo=ERR:#NUM!
ACOSH/acosh-at-1	=ACOSH(1)	py=0	hf=0	ic=0	fo=0
ACOSH/acosh-greater-than-1	=ACOSH(2)	py=1.3169578969248166	hf=1.3169578969	ic=1.316957897	fo=1.3169578969248166
ACOT/acot-at-0	=ACOT(0)	py=ERR:#NAME?	hf=1.5707963268	ic=1.570796327	fo=1.5707963267948966
ACOT/acot-at-1	=ACOT(1)	py=ERR:#NAME?	hf=0.7853981634	ic=0.785398163	fo=0.7853981633974483
ACOT/acot-negative	=ACOT(-1)	py=ERR:#NAME?	hf=-0.7853981634	ic=2.35619449	fo=2.356194490192345
ACOTH/acoth-greater-than-1	=ACOTH(2)	py=ERR:#NAME?	hf=0.54930614433	ic=0.549306144	fo=0.5493061443340549
ACOTH/acoth-less-than-1	=ACOTH(-2)	py=ERR:#NAME?	hf=-0.54930614433	ic=-0.549306144	fo=-0.5493061443340549
ASIN/asin-at-0	=ASIN(0)	py=0	hf=0	ic=0	fo=0
ASIN/asin-at-1	=ASIN(1)	py=1.5707963267948966	hf=1.5707963268	ic=1.570796327	fo=1.5707963267948966
ASIN/asin-negative	=ASIN(-1)	py=ERR:#NAME?	hf=-1.5707963268	ic=-1.570796327	fo=-1.5707963267948966
ASIN/asin-out-of-domain	=ASIN(2)	py=ERR:#NAME?	hf=ERR:#NUM!	ic=ERR:#NUM!	fo=ERR:#NUM!
ASINH/asinh-at-0	=ASINH(0)	py=0	hf=0	ic=0	fo=0
ASINH/asinh-at-1	=ASINH(1)	py=0.881373587019543	hf=0.88137358702	ic=0.881373587	fo=0.881373587019543
ASINH/asinh-negative	=ASINH(-1)	py=ERR:#NAME?	hf=-0.88137358702	ic=-0.881373587	fo=-0.881373587019543
ATAN/atan-at-0	=ATAN(0)	py=0	hf=0	ic=0	fo=0
ATAN/atan-at-1	=ATAN(1)	py=0.7853981633974483	hf=0.7853981634	ic=0.785398163	fo=0.7853981633974483
ATAN/atan-negative	=ATAN(-1)	py=ERR:#NAME?	hf=-0.7853981634	ic=-0.785398163	fo=-0.7853981633974483
ATAN2/atan2-diagonal	=ATAN2(1, 1)	py=0.7853981633974483	hf=0.7853981634	ic=0.785398163	fo=0.7853981633974483
